;user_id_str;POS tagged;Subjectivity;Polarity;TextBlob
22;2940371460;[('transaksi', 'n'), ('belanja', 'n'), ('makin', None), ('cepat', 'n'), ('dan', 'n'), ('simpel', 'n'), ('di', 'a'), ('alfamart', 'n'), ('dengan', 'n'), ('fitur', 'a'), ('qris', 'n'), ('dari', 'n'), ('dana', 'n'), ('mobitekno', 'n'), ('aplikasi', 'n'), ('dompet', 'n'), ('digital', 'a'), ('dana', 'n'), ('memperluas', 'n'), ('layanan', 'n'), ('bagi', 'n'), ('pengguna', 'n'), ('dengan', 'n'), ('menggandeng', 'n'), ('salah', 'n')];0.0;0.0;Neutral
23;1,37999E+18;[('wates', 'n'), ('bhabinkamtibmas', None), ('giripeni', 'a'), ('aipda', 'n'), ('sularni', 'n'), ('melaksanakan', 'n'), ('penempelan', 'n'), ('hotline', 'n'), ('kapolda', None), ('diy', 'a'), ('dan', 'n'), ('kapolres', 'n'), ('kulon', None), ('progo', 'n'), ('tentang', 'n'), ('layanan', 'a'), ('aduan', 'a'), ('masyarakat', 'n'), ('kepada', 'n'), ('polri', 'n'), ('di', 'n'), ('kantor', 'n'), ('kalurahan', None), ('giripeni', 'a'), ('alfamart', 'n'), ('graulan', 'n'), ('dan', None), ('atm', 'a'), ('bni', 'n'), ('sideman', 'n'), ('depan', 'n'), ('pt', None), ('putra', 'a'), ('patria', 'n'), ('adikarsa', None), ('jumat', 'n')];0.0;0.0;Neutral
24;503125705;[('perbaiki', 'n'), ('dulu', 'n'), ('layanan', 'n'), ('pengiriman', 'n'), ('ke', None), ('buyer', 'n'), ('lelet', 'n'), ('sekarang', 'n')];0.0;0.0;Neutral
25;1,22327E+18;[('nihh', 'a'), ('banyak', 'n'), ('komplen', None), ('terkait', 'a'), ('layanan', 'n'), ('anda', 'n')];0.0;0.0;Neutral
26;103806878;[('dapatkan', 'a'), ('bonus', 'n'), ('extra', None), ('poin', 'n'), ('di', 'a'), ('alfamart', 'n'), ('setiap', 'n'), ('melakukan', 'n'), ('pembayaran', 'n'), ('layanan', 'n'), ('telkom', 'n'), ('group', 'n'), ('sahabat', None), ('bisa', 'a'), ('mendapatkan', 'a'), ('bonus', 'n'), ('poinnya', 'n'), ('loo', 'n'), ('yuk', 'n'), ('buruan', 'a'), ('nikmati', 'a'), ('extra', None), ('poinnya', 'n'), ('di', 'a'), ('alfamart', 'n'), ('terdekat', 'n'), ('smiling', None), ('face', 'n'), ('heart', 'n'), ('eyes', 'n'), ('periode', None), ('desember', None), ('amp', 'n'), ('k', 'n'), ('berlaku', 'n')];0.1;0.0;Neutral
27;2505986557;[('sejak', 'n'), ('bulan', 'n'), ('januari', 'n'), ('premi', 'n'), ('bpjs', 'n'), ('kesehatan', 'n'), ('tidak', 'n'), ('bisa', 'n'), ('dibayarkan', 'n'), ('mulai', 'n'), ('dari', 'n'), ('layanan', None), ('mobile', 'a'), ('banking', 'n'), ('e', 'n'), ('commers', 'n'), ('alfamart', None), ('amp', 'a'), ('indomart', 'n'), ('sampai', 'n'), ('dengan', 'a'), ('kantor', 'n'), ('pos', 'n'), ('menyatakan', 'n'), ('pembayaran', 'n'), ('tidak', 'n'), ('bisa', 'n'), ('sehingga', 'n'), ('saat', 'n'), ('ini', 'n'), ('kepersetaan', 'n'), ('berstatus', 'n'), ('tidak', 'n'), ('aktif', 'n')];0.0;0.0;Neutral
28;103806878;[('sisa', 'n'), ('hari', 'n'), ('lagi', 'n'), ('nih', 'n'), ('sahabat', 'n'), ('face', 'n'), ('screaming', None), ('fear', 'n'), ('dengan', 'n'), ('pembayaran', None), ('bpjs', 'r'), ('ketenagakerjaan', 'a'), ('car', 'n'), ('life', 'n'), ('insurance', 'n'), ('atau', 'n'), ('layanan', 'n'), ('televisi', 'n'), ('di', 'a'), ('alfamart', 'n'), ('sahabat', 'n'), ('bisa', 'n'), ('mendapatkan', 'n'), ('chocopie', 'n'), ('secara', 'n'), ('gratis', 'n'), ('yuk', 'n'), ('buruan', 'a'), ('lakukan', 'a'), ('pembayarannya', 'n'), ('di', 'a'), ('alfamart', 'n'), ('terdekat', 'n'), ('periode', 'n'), ('des', 'n'), ('amp', 'a'), ('k', 'n'), ('berlaku', 'n')];0.0;0.0;Neutral
29;103802792;[('kalian', 'a'), ('tu', 'n'), ('gak', 'n'), ('punya', 'n'), ('cs', 'n'), ('tapi', 'n'), ('buka', 'n'), ('layanan', 'n'), ('cs', 'n'), ('ya', 'n'), ('ini', None), ('chat', None), ('dr', 'n'), ('bulan', 'n'), ('apa', None), ('gak', 'n'), ('pernah', 'n'), ('solved', None), ('di', 'a'), ('aplikasi', 'n'), ('diarahkan', 'n'), ('ke', 'n'), ('email', 'n'), ('juga', 'n'), ('gak', 'n'), ('ada', None), ('respon', 'n'), ('aku', 'n'), ('mau', 'n'), ('komplain', 'n')];0.0;0.0;Neutral
30;9,69218E+17;[('patroli', 'n'), ('kewilayahan', None), ('personil', 'a'), ('polsek', 'n'), ('cikarang', 'n'), ('selatan', None), ('aipda', 'a'), ('jon', 'n'), ('henry', 'n'), ('dan', 'n'), ('bripka', 'n'), ('acep', 'n'), ('melaksanakan', 'n'), ('sosialisasi', 'n'), ('layanan', 'n'), ('polri', 'n'), ('di', 'a'), ('alfamart', 'a'), ('desa', 'n'), ('sukaresmi', 'n'), ('untuk', 'a'), ('menyampaikan', 'a'), ('himbauan', 'n'), ('kamtibmas', 'n')];0.0;0.0;Neutral
31;1,48339E+18;[('parkir', 'a'), ('alfamart', 'n'), ('gratis', 'n'), ('itu', 'n'), ('layanan', 'n'), ('buat', 'n'), ('konsumen', 'n'), ('dan', None), ('pihak', 'a'), ('pt', 'n'), ('udah', 'a'), ('bayar', 'n'), ('retribusi', 'n'), ('juga', 'n'), ('ke', 'n'), ('pemda', 'n'), ('jadi', 'n'), ('itu', 'n'), ('kalo', 'n'), ('ada', 'n'), ('parkir', 'n'), ('di', 'n'), ('alfa', 'n'), ('indo', 'n'), ('masuknya', 'n'), ('pungli', 'n'), ('si', 'n')];0.0;0.0;Neutral
